,front_leg,mid_leg,back_leg,tf,ROI,lookback,std_dev,front_vector,middle_vector,back_vector
87,ETH-28JAN22,ETH-25MAR22,BTC-25MAR22,60,0.9884421534602572,20,2,1.0,-0.97,0.0
88,ETH-28JAN22,ETH-25MAR22,BTC-25MAR22,120,0.990338022456816,20,2,1.0,-0.97,0.0
89,ETH-28JAN22,ETH-25MAR22,BTC-25MAR22,180,0.9957952059259091,20,2,1.0,-0.97,0.0
90,ETH-28JAN22,ETH-25MAR22,BTC-25MAR22,360,0.9960700892956404,20,2,1.0,-0.98,0.0
91,ETH-28JAN22,ETH-25MAR22,BTC-25MAR22,720,0.998321051144196,20,2,1.0,-0.96,-0.0
92,ETH-28JAN22,ETH-25MAR22,BTC-28JAN22,15,0.9390467539806144,20,2,1.0,-0.97,0.0
93,ETH-28JAN22,ETH-25MAR22,BTC-28JAN22,30,0.9886258127748049,20,2,1.0,-0.97,0.0
94,ETH-28JAN22,ETH-25MAR22,BTC-28JAN22,60,0.9884421534602572,20,2,1.0,-0.97,0.0
95,ETH-28JAN22,ETH-25MAR22,BTC-28JAN22,120,0.990338022456816,20,2,1.0,-0.97,0.0
96,ETH-28JAN22,ETH-25MAR22,BTC-28JAN22,180,0.9957952059259091,20,2,1.0,-0.97,0.0
97,ETH-28JAN22,ETH-25MAR22,BTC-28JAN22,360,0.9960700892956404,20,2,1.0,-0.98,0.0
98,ETH-28JAN22,ETH-25MAR22,BTC-28JAN22,720,0.998321051144196,20,2,1.0,-0.96,-0.0
99,ETH-28JAN22,ETH-25MAR22,BTC-24JUN22,15,0.9390467539806144,20,2,1.0,-0.97,0.0
100,ETH-28JAN22,ETH-25MAR22,BTC-24JUN22,30,0.9886258127748049,20,2,1.0,-0.97,0.0
101,ETH-28JAN22,ETH-25MAR22,BTC-24JUN22,60,0.9884421534602572,20,2,1.0,-0.97,0.0
102,ETH-28JAN22,ETH-25MAR22,BTC-24JUN22,120,0.9892701129336214,20,2,1.0,-0.98,0.0
103,ETH-28JAN22,ETH-25MAR22,BTC-24JUN22,180,0.9957952059259091,20,2,1.0,-0.97,0.0
104,ETH-28JAN22,ETH-25MAR22,BTC-24JUN22,360,0.9960700892956404,20,2,1.0,-0.98,0.0
105,ETH-28JAN22,ETH-25MAR22,BTC-24JUN22,720,0.998321051144196,20,2,1.0,-0.96,-0.0
106,ETH-28JAN22,ETH-25MAR22,BTC-7JAN22,15,0.9508083867917813,20,2,1.0,-0.97,-0.0
107,ETH-28JAN22,ETH-25MAR22,BTC-7JAN22,30,0.9804234423091632,20,2,1.0,-0.96,-0.0
108,ETH-28JAN22,ETH-25MAR22,BTC-7JAN22,60,0.9892283642310485,20,2,1.0,-0.98,-0.0
109,ETH-28JAN22,ETH-25MAR22,BTC-7JAN22,120,0.9924066480846081,20,2,1.0,-0.98,-0.0
110,ETH-28JAN22,ETH-25MAR22,BTC-7JAN22,180,0.9956665759035549,20,2,1.0,-1.14,-0.0
111,ETH-28JAN22,ETH-25MAR22,BTC-30SEP22,15,0.9390467539806144,20,2,1.0,-0.97,0.0
112,ETH-28JAN22,ETH-25MAR22,BTC-30SEP22,30,0.9886258127748049,20,2,1.0,-0.97,0.0
113,ETH-28JAN22,ETH-25MAR22,BTC-30SEP22,60,0.9884421534602572,20,2,1.0,-0.97,0.0
114,ETH-28JAN22,ETH-25MAR22,BTC-30SEP22,120,0.9892701129336214,20,2,1.0,-0.98,0.0
115,ETH-28JAN22,ETH-25MAR22,BTC-30SEP22,180,0.9957952059259091,20,2,1.0,-0.97,0.0
116,ETH-28JAN22,ETH-25MAR22,BTC-30SEP22,360,0.9960700892956404,20,2,1.0,-0.98,0.0
117,ETH-28JAN22,ETH-25MAR22,BTC-30SEP22,720,0.998321051144196,20,2,1.0,-0.96,-0.0
118,ETH-28JAN22,ETH-25MAR22,BTC-PERPETUAL,15,0.9390467539806144,20,2,1.0,-0.97,0.0
119,ETH-28JAN22,ETH-25MAR22,BTC-PERPETUAL,30,0.9886258127748049,20,2,1.0,-0.97,0.0
120,ETH-28JAN22,ETH-25MAR22,BTC-PERPETUAL,60,0.9884421534602572,20,2,1.0,-0.97,0.0
121,ETH-28JAN22,ETH-25MAR22,BTC-PERPETUAL,120,0.990338022456816,20,2,1.0,-0.97,0.0
122,ETH-28JAN22,ETH-25MAR22,BTC-PERPETUAL,180,0.9957952059259091,20,2,1.0,-0.97,0.0
123,ETH-28JAN22,ETH-25MAR22,BTC-PERPETUAL,360,0.9960700892956404,20,2,1.0,-0.98,0.0
124,ETH-28JAN22,ETH-25MAR22,BTC-PERPETUAL,720,0.998321051144196,20,2,1.0,-0.96,-0.0
125,ETH-28JAN22,ETH-30SEP22,ETH-7JAN22,15,0.9461704924461906,20,2,1.0,0.56,-1.62
126,ETH-28JAN22,ETH-30SEP22,ETH-7JAN22,30,0.9818574627898743,20,2,1.0,0.52,-1.57
127,ETH-28JAN22,ETH-30SEP22,ETH-7JAN22,60,0.9886861335172296,20,2,1.0,0.48,-1.56
128,ETH-28JAN22,ETH-30SEP22,ETH-7JAN22,120,0.9967490237286064,20,2,1.0,0.2,-1.24
129,ETH-28JAN22,ETH-30SEP22,ETH-7JAN22,180,0.9842160444316076,20,2,1.0,1.36,-5.79
130,ETH-28JAN22,ETH-30SEP22,ETH-PERPETUAL,15,0.8750300846957895,20,2,1.0,-0.46,-0.54
131,ETH-28JAN22,ETH-30SEP22,ETH-PERPETUAL,30,0.9494797482818167,20,2,1.0,-0.47,-0.52
132,ETH-28JAN22,ETH-30SEP22,ETH-PERPETUAL,60,0.9838620058087244,20,2,1.0,-0.49,-0.5
133,ETH-28JAN22,ETH-30SEP22,ETH-PERPETUAL,120,0.9796595199955531,20,2,1.0,-0.51,-0.48
